id,PLAYER_NAME,first_name,last_name
76001,Alaa Abdelnaby,Alaa,Abdelnaby
76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz
76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim
76005,Tom Abernethy,Tom,Abernethy
76006,Forest Able,Forest,Able
76007,John Abramovic,John,Abramovic
203518,Alex Abrines,Alex,Abrines
1630173,Precious Achiuwa,Precious,Achiuwa
101165,Alex Acker,Alex,Acker
76008,Donald Ackerman,Donald,Ackerman
76009,Mark Acres,Mark,Acres
76010,Charles Acton,Charles,Acton
203112,Quincy Acy,Quincy,Acy
76011,Alvan Adams,Alvan,Adams
76012,Don Adams,Don,Adams
200801,Hassan Adams,Hassan,Adams
1629121,Jaylen Adams,Jaylen,Adams
203919,Jordan Adams,Jordan,Adams
149,Michael Adams,Michael,Adams
203500,Steven Adams,Steven,Adams
912,Rafael Addison,Rafael,Addison
1628389,Bam Adebayo,Bam,Adebayo
1629061,Deng Adel,Deng,Adel
76015,Rick Adelman,Rick,Adelman
202399,Jeff Adrien,Jeff,Adrien
201167,Arron Afflalo,Arron,Afflalo
200772,Maurice Ager,Maurice,Ager
76016,Mark Aguirre,Mark,Aguirre
201336,Blake Ahearn,Blake,Ahearn
76017,Danny Ainge,Danny,Ainge
201582,Alexis Ajinca,Alexis,Ajinca
76018,Henry Akin,Henry,Akin
203006,Josh Akognon,Josh,Akognon
1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell
202374,Solomon Alabi,Solomon,Alabi
76019,Mark Alarie,Mark,Alarie
76020,Gary Alcorn,Gary,Alcorn
1630583,Santi Aldama,Santi,Aldama
203128,Furkan Aldemir,Furkan,Aldemir
202332,Cole Aldrich,Cole,Aldrich
200746,LaMarcus Aldridge,LaMarcus,Aldridge
76021,Chuck Aleksinas,Chuck,Aleksinas
1626146,Cliff Alexander,Cliff,Alexander
724,Cory Alexander,Cory,Alexander
2042,Courtney Alexander,Courtney,Alexander
76022,Gary Alexander,Gary,Alexander
201570,Joe Alexander,Joe,Alexander
1629734,Kyle Alexander,Kyle,Alexander
1630234,Ty-Shon Alexander,Ty-Shon,Alexander
2349,Victor Alexander,Victor,Alexander
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker
76024,Steve Alford,Steve,Alford
1628959,Rawle Alkins,Rawle,Alkins
